                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3555,                 2.4206,                 1.5781,                0.57484,                 0.0545,                0.05129,                0.02488,                 1.6226,                 5.1422,                 1.3912,             0.00047243,             0.00047243,             0.00047243
                      2,                 1.4415,                 2.1401,                 1.6568,                0.11486,                0.03106,                0.01742,                 0.0065,                 1.9461,                  5.421,                 1.5295,             0.00093937,             0.00093937,             0.00093937
